,JobId,EngineeringSoldkWSize,EngineeringSoldAnnualkWh,EnergyConsumption,State,RoofSqFoot,NumMountingPlanes,NumPanels,PowerwallCount,UtilityCostPerKWh,OldBill,UtilityRatePlanId,UtilityInflationRate,GasRatePlanID,AverageShading,Reroof,MPU,Status,yearly_sunlight_kwh_kw_threshold_avg,yearly_sunlight_kwh_n,yearly_sunlight_kwh_s,yearly_sunlight_kwh_e,yearly_sunlight_kwh_w,yearly_sunlight_kwh_f,yearly_sunlight_kwh_median,yearly_sunlight_kwh_total
0,JB-9723486-00,3.465,3806.009,8860.0,OR,1508.0,1,11,,0.113579,134.1167,20004.0,0.038,20400.0,0.12,0,0,1,924,6238761,23644489,12752183,18686293,40394672,16291,102536694
1,JB-9586828-00,13.86,18115.315,62233.0,CA,2518.0,4,44,,0.19372899999999998,1056.3469,300.0,0.028999999999999998,90.0,0.043636364000000004,0,1,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
2,JB-9586336-00,3.78,4887.0342,7464.0,CA,1980.0,3,12,,0.152606,146.5714,998504493.0,0.028999999999999998,90.0,0.170833333,0,0,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
3,JB-95615481-00,16.065,23229.5524,23834.0,CA,3155.0,3,51,,0.33029400000000003,704.0654,10.0,0.028999999999999998,90.0,0.008823529,0,0,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
4,JB-95615433-00,10.92,14676.4759,18131.0,CA,6512.0,2,42,,0.298678,499.3237,15.0,0.028999999999999998,90.0,0.008571429,0,0,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
5,JB-95615168-00,4.095,4089.573,6483.0,CA,,2,13,,0.203558,158.0187,10.0,0.028999999999999998,90.0,0.343076923,0,0,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
6,JB-9542846-00,6.5,8025.7797,8094.0,CA,3673.0,2,25,,0.18549300000000002,170.7077,46.0,0.028999999999999998,90.0,0.09304347800000001,0,1,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
7,JB-95312502-00,8.505,12196.6609,12409.0,CA,2976.0,2,27,,0.264252,321.3057,10.0,0.028999999999999998,90.0,0.0053125,0,0,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
8,JB-9525925-00,5.035,6701.9949,8706.0,CA,2515.0,3,19,,0.178033,177.2094,2601.0,0.028999999999999998,90.0,0.066842105,0,0,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
9,JB-9518007-00,3.19,4972.2416,6270.0,CA,2672.0,1,11,,0.21515,162.0934,10.0,0.028999999999999998,90.0,0.0,1,0,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
10,JB-9517772-00,6.76,9105.3562,6073.0,CA,3808.0,3,26,,0.22131199999999998,161.6801,10.0,0.028999999999999998,90.0,0.138461538,1,0,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
11,JB-9508126-00,12.285,17330.057,14083.0,CA,5085.0,3,39,,0.29732600000000003,396.2484,10.0,0.028999999999999998,90.0,0.050769231,0,0,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
12,JB-9492920-00,4.94,7258.3906,7737.0,CA,3313.0,1,19,,0.24043699999999998,202.3337,998504487.0,0.028999999999999998,90.0,0.03,0,0,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
13,JB-94525371-00,5.67,8232.756,7759.0,CA,2050.0,2,18,,0.213104,185.8362,10.0,0.028999999999999998,90.0,0.0,0,0,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
14,JB-94525036-00,3.12,4796.0282,5782.0,CA,2687.0,1,12,,0.204045,145.6279,10.0,0.028999999999999998,90.0,0.07,0,0,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
15,JB-943712-00,3.78,4564.8981,3232.0,CA,2360.0,1,12,,0.18353,96.7428,998504487.0,0.028999999999999998,90.0,0.25,0,0,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
16,JB-9377171-00,4.42,6145.4131,6179.0,CA,,1,17,,0.228446,165.6774,10.0,0.028999999999999998,90.0,0.0,0,0,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
17,JB-9377080-00,5.2,7962.6714,7893.0,CA,3085.0,1,20,,0.204619,182.6349,10.0,0.028999999999999998,90.0,0.06,0,0,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
18,JB-9376414-00,9.36,10211.3899,10468.0,CA,2823.0,2,36,,0.24950799999999998,265.7006,10.0,0.028999999999999998,90.0,0.21916666699999998,0,1,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
19,JB-92512141-00,11.96,17779.8213,18021.0,CA,3424.0,1,46,,0.242077,411.5859,200.0,0.028999999999999998,90.0,0.01,0,0,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
20,JB-92512000-00,3.38,5426.3984,7011.0,CA,1779.0,1,13,,0.183319,155.1507,200.0,0.028999999999999998,90.0,0.0,0,0,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
21,JB-85711381-00,7.54,11101.8507,12372.0,AZ,2211.0,3,29,,0.125626,187.4399,10304.0,0.035,10800.0,0.003793103,0,0,1,1380,9077329,55332768,30873238,44060559,97005968,23700,236349864
22,JB-85711349-00,8.32,13414.605,13843.0,AZ,1898.0,1,32,,0.124223,201.2214,10304.0,0.035,10800.0,0.0,0,0,1,1380,9077329,55332768,30873238,44060559,97005968,23700,236349864
23,JB-85711149-00,6.3,6945.7718,10579.0,AZ,3266.0,1,20,,0.1255,168.5582,10304.0,0.035,10800.0,0.29,0,1,1,1380,9077329,55332768,30873238,44060559,97005968,23700,236349864
24,JB-85710550-00,5.83,7876.848000000001,13876.0,AZ,4080.0,3,22,,0.123423,200.6377,10304.0,0.035,10800.0,0.134545455,0,0,1,1380,9077329,55332768,30873238,44060559,97005968,23700,236349864
25,JB-8515555-00,6.5,9806.5233,9814.0,AZ,2241.0,1,25,,0.157797,129.05200000000002,10000.0,0.035,40003.0,0.04,0,0,1,1380,9077329,55332768,30873238,44060559,97005968,23700,236349864
26,JB-8515522-00,4.42,6611.9272,6683.0,AZ,2048.0,1,17,,0.156157,146.0058,10000.0,0.035,10800.0,0.00625,0,0,1,1380,9077329,55332768,30873238,44060559,97005968,23700,236349864
27,JB-7612215-00,10.4,11638.5966,18696.0,TX,2573.0,3,40,,0.130556,256.2393,998504338.0,0.019,49601.0,0.16399999999999998,0,0,1,1136,10270350,31300405,17162342,24356905,68831914,21421,152119732
28,JB-7602918-00,8.06,10895.4147,13630.0,TX,2228.0,2,31,,0.136676,208.0739,998504338.0,0.019,49601.0,1.11e-16,0,0,1,1136,10270350,31300405,17162342,24356905,68831914,21421,152119732
29,JB-7511059-00,9.88,9913.7115,18068.0,TX,3600.0,3,38,,0.226433,393.7659,998504338.0,0.019,49601.0,0.290526316,0,1,1,1136,10270350,31300405,17162342,24356905,68831914,21421,152119732
30,JB-347455-00,6.24,9467.3517,16080.0,FL,3584.0,2,24,,0.12363699999999998,222.6519,998504540.0,0.028999999999999998,49601.0,0.0,0,0,1,1159,14168656,31946641,21669323,26832841,61352654,28566,156202561
31,JB-2181253-00,13.26,15498.0419,15446.0,MD,1387.0,2,51,,0.141491,238.407,9991227.0,0.057,100099.0,0.005531915,0,0,1,1032,1945623,11483664,7355643,7418428,36403006,25505,65556459
32,JB-2161429-00,11.96,10831.3453,20117.0,MD,3351.0,3,46,,0.140368,235.3154,9991227.0,0.057,40003.0,0.210869565,0,0,1,1032,1945623,11483664,7355643,7418428,36403006,25505,65556459
33,JB-2161425-00,10.4,11983.555,12060.0,MD,3762.0,3,40,,0.143777,144.4964,9991227.0,0.057,40003.0,0.013999999999999999,0,0,1,1032,1945623,11483664,7355643,7418428,36403006,25505,65556459
34,JB-2093237-00,5.6,5567.5719,5872.0,MD,1728.0,1,20,,0.159355,134.2617,9991238.0,0.057,100099.0,0.226363636,0,0,1,1032,1945623,11483664,7355643,7418428,36403006,25505,65556459
35,JB-2093128-00,3.15,4447.9478,27262.0,MD,1236.0,1,10,,0.142652,380.3657,9991238.0,0.057,100099.0,0.02,0,0,1,1032,1945623,11483664,7355643,7418428,36403006,25505,65556459
36,JB-180638-00,6.76,7644.4705,10240.0,PA,1763.0,3,26,,0.130302,459.3248,9991700.0,0.0337,998504099.0,0.074615385,0,0,1,972,1992356,8701838,5678962,5876264,23098142,18162,45518365
37,JB-152541-00,2.6,2439.0488,2547.0,PA,927.0,2,10,,0.20481100000000002,391.605,9991698.0,0.0337,998504099.0,0.08,0,0,1,972,1992356,8701838,5678962,5876264,23098142,18162,45518365
38,JB-150085-00,2.08,1878.6981,4606.0,PA,1576.0,1,8,,0.176179,415.7572,9991698.0,0.0337,998504099.0,0.2,0,0,1,972,1992356,8701838,5678962,5876264,23098142,18162,45518365
39,JB-1093743-00,9.36,7853.8446,7870.0,NY,1928.0,2,36,,0.192011,194.0528,9991621.0,0.033,998467098.0,0.192,0,0,1,980,1377676,8972284,5414671,6065895,27207697,16549,49177144
40,JB-0661320-00,3.64,3382.9112,3432.0,CT,1124.0,1,14,,0.321803,161.0841,999467.0,0.054000000000000006,49601.0,0.09,0,0,1,994,800861,9855981,6130884,5974726,23119290,22457,46118246
41,JB-0644139-00,5.72,6173.7327,6267.0,CT,3199.0,1,22,,0.24,177.1384,40370.0,0.054000000000000006,49601.0,0.08,1,0,1,994,800861,9855981,6130884,5974726,23119290,22457,46118246
42,JB-0611532-00,4.68,4787.1589,9120.0,CT,1434.0,1,18,,0.18867,195.1874,999454.0,0.054000000000000006,49601.0,0.19,0,0,1,994,800861,9855981,6130884,5974726,23119290,22457,46118246
43,JB-0542071-00,4.42,3694.7833,4200.0,VT,1055.0,1,17,,0.203097,122.8823,998504368.0,0.028999999999999998,49601.0,0.18,0,0,1,950,678899,6315893,3821598,3795436,26967757,17827,41579584
44,JB-0102440-00,5.2,5300.5429,5233.0,MA,1403.0,3,20,,0.202488,140.0999,9991205.0,0.04,49601.0,0.01,0,0,1,979,629193,9109806,5364903,4973756,26668790,14817,46894852
45,JB-0102416-00,6.93,5680.3965,7445.0,MA,1879.0,2,22,,0.196172,173.5067,9991205.0,0.04,49601.0,0.23800000000000002,0,0,1,979,629193,9109806,5364903,4973756,26668790,14817,46894852
46,JB-9702786-00,4.16,4494.4743,9541.0,OR,3045.0,1,16,,0.230143,233.2403,20000.0,0.038,20400.0,0.07,0,0,1,924,6238761,23644489,12752183,18686293,40394672,16291,102536694
47,JB-9596872-00,5.3,6317.965,5749.0,CA,,3,20,,0.208375,147.8756,10.0,0.028999999999999998,90.0,0.036000000000000004,0,0,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
48,JB-9586943-00,9.135,11971.451000000001,12726.0,CA,2891.0,2,29,,0.150159,210.8937,300.0,0.028999999999999998,90.0,0.033333333,0,0,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
49,JB-9586808-00,11.97,14903.6721,36861.0,CA,1832.0,5,38,,0.191685,640.46,300.0,0.028999999999999998,90.0,0.10736842099999999,0,0,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
50,JB-95615312-00,7.29,11629.5599,11836.0,CA,4339.0,1,27,,0.143698,190.9823,300.0,0.028999999999999998,90.0,0.0,0,0,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
51,JB-95615205-00,4.16,5165.6408,5385.0,CA,1779.0,2,16,,0.193918,135.0672,10.0,0.028999999999999998,90.0,0.1325,1,0,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
52,JB-95615197-00,13.77,17148.3061,21744.0,CA,2417.0,2,51,,0.326307,639.3145,10.0,0.028999999999999998,90.0,0.030689655,0,0,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
53,JB-9542921-00,10.92,16760.063000000002,17129.0,CA,4106.0,1,42,,0.35740900000000003,559.8499,10.0,0.028999999999999998,90.0,0.01,0,0,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
54,JB-95312445-00,4.94,6886.0014,6991.0,CA,3181.0,2,19,,0.251977,194.8441,10.0,0.028999999999999998,90.0,0.021176471000000002,0,0,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
55,JB-95312179-00,10.07,14510.8126,15434.0,CA,3244.0,3,38,,0.17918499999999998,278.5089,4901.0,0.028999999999999998,90.0,0.006153846,0,0,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
56,JB-95311634-00,8.58,13972.7516,10869.0,CA,3898.0,1,33,,0.24546700000000002,270.3786,10.0,0.028999999999999998,90.0,0.0,0,0,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
57,JB-9518047-00,2.6,3888.7940000000003,3663.0,CA,2439.0,1,10,,0.198122,110.1545,10.0,0.028999999999999998,90.0,0.02,0,0,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
58,JB-9481339-00,5.985,8541.9195,10716.0,CA,2879.0,2,19,,0.318023,333.2569,10.0,0.028999999999999998,90.0,0.0,0,0,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
59,JB-9481325-00,7.245,8460.6411,12397.0,CA,3154.0,2,23,,0.348111,411.236,10.0,0.028999999999999998,90.0,0.097391304,0,0,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
60,JB-94525417-00,8.19,12479.3415,11587.0,CA,3189.0,2,26,,0.28857,327.8425,10.0,0.028999999999999998,90.0,0.003846154,0,0,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
61,JB-94525333-00,5.04,5385.8082,6119.0,CA,1868.0,1,16,,0.212666,155.7542,10.0,0.028999999999999998,90.0,0.34,0,0,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
62,JB-94525157-00,5.46,7980.8789,8318.0,CA,1907.0,2,21,,0.24153000000000002,217.3349,10.0,0.028999999999999998,90.0,0.04,0,0,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
63,JB-94524730-00,3.465,4520.0462,5541.0,CA,3214.0,2,11,,0.212905,148.2231,10.0,0.028999999999999998,90.0,0.015454545,0,0,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
64,JB-94524527-00,6.36,8633.3509,9400.0,CA,1837.0,2,24,,0.263343,253.5975,10.0,0.028999999999999998,90.0,0.0575,0,0,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
65,JB-94523763-00,7.56,8716.1716,8981.0,CA,2305.0,3,24,,0.240459,228.0102,10.0,0.028999999999999998,90.0,0.208235294,0,0,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
66,JB-9395401-00,7.8,10270.4534,10273.0,CA,,2,30,,0.255153,265.3484,10.0,0.028999999999999998,90.0,0.013214286,0,0,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
67,JB-9377232-00,6.5,8749.2876,10018.0,CA,2196.0,2,25,,0.246928,254.1903,10.0,0.028999999999999998,90.0,0.0,0,0,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
68,JB-9368602-00,4.16,4316.117,10914.0,CA,2269.0,3,16,,0.235422,262.1634,10.0,0.028999999999999998,90.0,0.23125,0,0,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
69,JB-9355427-00,5.3,9171.614,8990.0,CA,5543.0,1,20,,0.213677,210.5291,200.0,0.028999999999999998,90.0,0.0,0,0,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
70,JB-93310713-00,3.12,4097.705,4214.0,CA,2660.0,2,12,,0.210821,122.08,10.0,0.028999999999999998,90.0,0.07200000000000001,0,0,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
71,JB-93310645-00,5.67,8668.2681,8789.0,CA,3308.0,2,18,,0.21870599999999998,208.2309,10.0,0.028999999999999998,90.0,0.006666666999999999,0,0,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
72,JB-93211316-00,5.83,10059.2584,10080.0,CA,,1,22,,0.19946,215.5928,200.0,0.028999999999999998,90.0,0.0,0,0,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
73,JB-93211309-00,5.3,8031.41,8206.0,CA,4278.0,2,20,,0.187301,176.1292,200.0,0.028999999999999998,90.0,0.0035,0,0,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
74,JB-9272074-00,5.565,7035.4883,7754.0,CA,1621.0,2,21,,0.217877,185.8029,200.0,0.028999999999999998,490.0,0.15,1,1,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
75,JB-9269960-00,8.19,11520.2763,13643.0,CA,2217.0,4,26,,0.242684,318.381,200.0,0.028999999999999998,490.0,0.005,0,0,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
76,JB-9269783-00,10.6,14599.0441,13421.0,CA,2725.0,2,40,,0.318335,398.5013,998504494.0,0.028999999999999998,490.0,0.057,1,0,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
77,JB-92610538-00,4.41,7046.8493,6966.0,CA,2798.0,1,14,,0.209169,166.0158,200.0,0.028999999999999998,490.0,0.0,0,0,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
78,JB-92610104-00,4.77,7109.3715,7443.0,CA,2307.0,2,18,,0.181451,155.0151,217.0,0.028999999999999998,490.0,0.013333333000000001,0,0,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
79,JB-92512111-00,5.2,8594.0206,8820.0,CA,2285.0,1,20,,0.196143,192.21200000000002,200.0,0.028999999999999998,90.0,0.0,0,0,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
80,JB-92512053-00,2.86,4810.0647,4982.0,CA,3218.0,1,11,,0.175875,121.0643,200.0,0.028999999999999998,90.0,0.01,0,0,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
81,JB-92510680-00,10.335,13822.6917,14323.0,CA,2218.0,2,39,,0.23222600000000002,325.2284,200.0,0.028999999999999998,90.0,0.083333333,0,1,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
82,JB-9238234-00,13.545,18157.1045,18317.0,CA,3696.0,4,43,,0.253695,437.2127,200.0,0.028999999999999998,90.0,0.075813953,0,1,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
83,JB-9237645-00,4.845,8395.2478,8587.0,CA,2569.0,1,19,,0.205945,197.3395,200.0,0.028999999999999998,90.0,0.0,0,0,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
84,JB-9218096-00,1.855,2965.2740000000003,12000.0,CA,2079.0,1,7,,0.332919,377.8433,400.0,0.028999999999999998,490.0,0.0,0,1,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
85,JB-92110658-00,3.12,3598.5551,3336.0,CA,1630.0,2,12,,0.204487,101.7722,998504494.0,0.028999999999999998,490.0,0.23,0,0,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
86,JB-92014680-00,4.94,6519.7247,6937.0,CA,2213.0,2,19,,0.24864299999999998,186.2062,998504494.0,0.028999999999999998,490.0,0.0063157890000000005,0,0,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
87,JB-92014524-00,6.615,11095.3604,10111.0,CA,4515.0,1,21,,0.264094,264.9909,998504494.0,0.028999999999999998,490.0,0.02,0,0,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
88,JB-92014454-00,6.3,9442.0008,8301.0,CA,1913.0,3,20,,0.27808499999999997,234.8355,998504494.0,0.028999999999999998,490.0,0.0255,0,0,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
89,JB-91713053-00,12.48,19770.6843,21886.0,CA,2917.0,4,48,,0.250902,505.6503,200.0,0.028999999999999998,90.0,0.009375,0,0,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
90,JB-91712854-00,4.68,6452.9317,8023.0,CA,3495.0,2,18,,0.202628,185.9231,200.0,0.028999999999999998,90.0,0.13,0,0,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
91,JB-91712690-00,6.615,9478.6421,18298.0,CA,1597.0,2,21,,0.243887,419.9344,200.0,0.028999999999999998,90.0,0.04,0,0,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
92,JB-91314056-00,3.12,4633.0805,5031.0,CA,1497.0,1,12,,0.185541,128.2373,200.0,0.028999999999999998,90.0,0.02,0,1,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
93,JB-91311521-00,8.32,13141.0014,18409.0,CA,2844.0,2,32,,0.185095,334.4008,998504373.0,0.028999999999999998,90.0,0.0,0,0,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
94,JB-9082584-00,7.8,10899.448,10803.0,CA,2159.0,4,30,,0.241191,267.5813,200.0,0.028999999999999998,90.0,0.0,0,0,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
95,JB-9064093-00,5.2,7566.2333,8900.0,CA,1613.0,2,20,,0.225899,211.2858,200.0,0.028999999999999998,490.0,0.03,0,0,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
96,JB-9025541-00,3.12,4153.0203,6087.0,CA,1264.0,2,12,,0.203179,154.4724,200.0,0.028999999999999998,90.0,0.01,0,0,1,1272,10311270,36405017,21915043,28379896,70625561,26721,167779217
